Asset ID,UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type
LWPNMA205141,1,M14860,M,298.1,308.6,1551,42.8,0,0,No Failure
LWPNMA205142,2,L47181,L,298.2,308.7,1408,46.3,3,0,No Failure
LWPNMA205143,3,L47182,L,298.1,308.5,1498,49.4,5,0,No Failure
LWPNMA205144,4,L47183,L,298.2,308.6,1433,39.5,7,0,No Failure
LWPNMA205145,5,L47184,L,298.2,308.7,1408,40,9,0,No Failure
LWPNMA205146,6,M14865,M,298.1,308.6,1425,41.9,11,0,No Failure
LWPNMA205147,7,L47186,L,298.1,308.6,1558,42.4,14,0,No Failure
LWPNMA205148,8,L47187,L,298.1,308.6,1527,40.2,16,0,No Failure
LWPNMA205149,9,M14868,M,298.3,308.7,1667,28.6,18,0,No Failure
LWPNMA205150,10,M14869,M,298.5,309,1741,28,21,0,No Failure
LWPNMA205151,11,H29424,H,298.4,308.9,1782,23.9,24,0,No Failure
LWPNMA205152,12,H29425,H,298.6,309.1,1423,44.3,29,0,No Failure
LWPNMA205153,13,M14872,M,298.6,309.1,1339,51.1,34,0,No Failure
LWPNMA205154,14,M14873,M,298.6,309.2,1742,30,37,0,No Failure
LWPNMA205155,15,L47194,L,298.6,309.2,2035,19.6,40,0,No Failure
LWPNMA205156,16,L47195,L,298.6,309.2,1542,48.4,42,0,No Failure
LWPNMA205157,17,M14876,M,298.6,309.2,1311,46.6,44,0,No Failure
LWPNMA205158,18,M14877,M,298.7,309.2,1410,45.6,47,0,No Failure
LWPNMA205159,19,H29432,H,298.8,309.2,1306,54.5,50,0,No Failure
LWPNMA205160,20,M14879,M,298.9,309.3,1632,32.5,55,0,No Failure
LWPNMA205161,21,H29434,H,298.9,309.3,1375,42.7,58,0,No Failure
LWPNMA205162,22,L47201,L,298.8,309.3,1450,44.8,63,0,No Failure
LWPNMA205163,23,M14882,M,298.9,309.3,1581,30.7,65,0,No Failure
LWPNMA205164,24,L47203,L,299,309.4,1758,25.7,68,0,No Failure
LWPNMA205165,25,M14884,M,299,309.4,1561,37.3,70,0,No Failure
LWPNMA205166,26,L47205,L,299,309.5,1861,23.3,73,0,No Failure
LWPNMA205167,27,L47206,L,299.1,309.5,1512,39,75,0,No Failure
LWPNMA205168,28,H29441,H,299.1,309.4,1811,24.6,77,0,No Failure
LWPNMA205169,29,L47208,L,299.1,309.4,1439,44.2,82,0,No Failure
LWPNMA205170,30,L47209,L,299,309.4,1693,30.1,84,0,No Failure
LWPNMA205171,31,M14890,M,299.1,309.5,1339,48.2,86,0,No Failure
LWPNMA205172,32,L47211,L,299,309.4,1798,25.5,89,0,No Failure
LWPNMA205173,33,L47212,L,299,309.4,1419,48.3,91,0,No Failure
LWPNMA205174,34,L47213,L,298.9,309.3,1665,32.5,93,0,No Failure
LWPNMA205175,35,M14894,M,298.8,309.1,1559,34.7,95,0,No Failure
LWPNMA205176,36,M14895,M,298.8,309.2,1452,48.6,98,0,No Failure
LWPNMA205177,37,M14896,M,298.9,309.2,1581,36.7,101,0,No Failure
LWPNMA205178,38,L47217,L,298.8,309.1,1439,39.2,104,0,No Failure
LWPNMA205179,39,H29452,H,298.9,309.2,1379,50.7,106,0,No Failure
LWPNMA205180,40,L47219,L,298.8,309.1,1350,52.5,111,0,No Failure
LWPNMA205181,41,L47220,L,298.8,309.1,1362,45.4,113,0,No Failure
LWPNMA205182,42,L47221,L,298.8,309.1,1368,50.8,115,0,No Failure
LWPNMA205183,43,M14902,M,298.8,309.1,1368,49.1,117,0,No Failure
LWPNMA205184,44,H29457,H,298.8,309.2,1372,48.5,120,0,No Failure
LWPNMA205185,45,M14904,M,298.8,309.1,1472,47.5,125,0,No Failure
LWPNMA205186,46,L47225,L,298.8,309.1,1489,49.1,128,0,No Failure
LWPNMA205187,47,M14906,M,298.7,309,1843,25.8,130,0,No Failure
LWPNMA205188,48,L47227,L,298.8,309.1,1418,46.3,133,0,No Failure
LWPNMA205189,49,H29462,H,298.8,309.2,1425,53.9,135,0,No Failure
LWPNMA205190,50,M14909,M,298.9,309.2,1412,44.1,140,0,No Failure
LWPNMA205191,51,L47230,L,298.9,309.1,2861,4.6,143,1,Power Failure
LWPNMA205192,52,L47231,L,298.9,309.1,1383,54.9,145,0,No Failure
LWPNMA205193,53,H29466,H,298.8,309,1497,43.8,147,0,No Failure
LWPNMA205194,54,L47233,L,298.7,309,1565,35.1,152,0,No Failure
LWPNMA205195,55,L47234,L,298.7,309,1691,30.1,154,0,No Failure
LWPNMA205196,56,L47235,L,298.8,309.1,1512,40.7,156,0,No Failure
LWPNMA205197,57,L47236,L,298.8,309.1,1477,42.4,158,0,No Failure
LWPNMA205198,58,L47237,L,298.8,309.1,1513,40.3,160,0,No Failure
LWPNMA205199,59,M14918,M,298.8,309,1661,29.5,162,0,No Failure
LWPNMA205200,60,L47239,L,298.8,309.1,1378,54.4,165,0,No Failure
LWPNMA205201,61,L47240,L,298.8,309.1,1393,52.6,167,0,No Failure
LWPNMA205202,62,M14921,M,298.8,309,1592,38.2,169,0,No Failure
LWPNMA205203,63,L47242,L,298.8,309,1829,22.9,172,0,No Failure
LWPNMA205204,64,M14923,M,298.9,309,1812,25.9,174,0,No Failure
LWPNMA205205,65,L47244,L,299,309.1,1523,38.6,177,0,No Failure
LWPNMA205206,66,L47245,L,299,309.1,1394,45.1,179,0,No Failure
LWPNMA205207,67,M14926,M,298.9,308.9,1679,28.7,181,0,No Failure
LWPNMA205208,68,H29481,H,298.8,308.9,1466,44.1,184,0,No Failure
LWPNMA205209,69,L47248,L,298.8,308.9,1527,32.4,189,0,No Failure
LWPNMA205210,70,L47249,L,298.9,309,1410,65.7,191,1,Power Failure
LWPNMA205211,71,M14930,M,298.9,309,1924,22.6,193,0,No Failure
LWPNMA205212,72,L47251,L,298.9,309.1,1452,45.5,196,0,No Failure
LWPNMA205213,73,L47252,L,298.9,309.1,1369,44.4,198,0,No Failure
LWPNMA205214,74,L47253,L,299,309.1,1592,35,200,0,No Failure
LWPNMA205215,75,L47254,L,298.9,309,1601,32.3,202,0,No Failure
LWPNMA205216,76,L47255,L,298.8,308.9,1379,46.7,204,0,No Failure
LWPNMA205217,77,L47256,L,298.8,308.9,1461,47.9,206,0,No Failure
LWPNMA205218,78,L47257,L,298.8,308.9,1455,41.3,208,1,Tool Wear Failure
LWPNMA205219,79,L47258,L,298.8,308.9,1398,51.5,0,0,No Failure
LWPNMA205220,80,L47259,L,298.8,308.9,1402,37.9,2,0,No Failure
LWPNMA205221,81,H29494,H,298.8,308.8,1445,49.9,4,0,No Failure
LWPNMA205222,82,L47261,L,298.9,308.9,1450,47.5,9,0,No Failure
LWPNMA205223,83,L47262,L,298.9,308.9,1453,40.8,11,0,No Failure
LWPNMA205224,84,L47263,L,299,309,1469,40.1,13,0,No Failure
LWPNMA205225,85,L47264,L,298.9,308.9,1422,47.6,15,0,No Failure
LWPNMA205226,86,M14945,M,299,309,1804,26.8,17,0,No Failure
LWPNMA205227,87,H29500,H,299,309,1436,43.9,20,0,No Failure
LWPNMA205228,88,L47267,L,299,309,1544,31.8,25,0,No Failure
LWPNMA205229,89,M14948,M,299,309,1419,45.2,27,0,No Failure
LWPNMA205230,90,M14949,M,298.9,308.9,1487,39.5,30,0,No Failure
LWPNMA205231,91,L47270,L,298.9,308.9,1753,25.8,33,0,No Failure
LWPNMA205232,92,L47271,L,298.9,308.9,1830,24.9,35,0,No Failure
LWPNMA205233,93,M14952,M,298.9,308.9,1727,27.1,37,0,No Failure
LWPNMA205234,94,L47273,L,299.1,309,1450,43,40,0,No Failure
LWPNMA205235,95,L47274,L,299,308.9,1622,31.9,42,0,No Failure
LWPNMA205236,96,M14955,M,299,309,1351,52.2,44,0,No Failure
LWPNMA205237,97,M14956,M,299,309,1575,35.3,47,0,No Failure
LWPNMA205238,98,M14957,M,298.9,308.9,1750,29.9,50,0,No Failure
LWPNMA205239,99,L47278,L,298.9,308.8,1529,32.7,53,0,No Failure
LWPNMA205240,100,L47279,L,298.8,308.8,1523,44.4,55,0,No Failure
LWPNMA205241,101,L47280,L,298.8,308.9,1852,25,57,0,No Failure
LWPNMA205242,102,L47281,L,298.8,308.8,1991,20.7,59,0,No Failure
LWPNMA205243,103,L47282,L,298.8,308.8,1555,40.6,61,0,No Failure
LWPNMA205244,104,M14963,M,298.8,308.8,1441,40.5,63,0,No Failure
LWPNMA205245,105,L47284,L,298.8,308.7,1450,43.4,66,0,No Failure
LWPNMA205246,106,L47285,L,298.8,308.7,1591,31.1,68,0,No Failure
LWPNMA205247,107,L47286,L,298.8,308.7,1445,48.5,70,0,No Failure
LWPNMA205248,108,M14967,M,298.8,308.8,1497,46.8,72,0,No Failure
LWPNMA205249,109,H29522,H,298.9,308.8,1621,32.7,75,0,No Failure
LWPNMA205250,110,L47289,L,298.9,308.7,1572,34.1,80,0,No Failure
LWPNMA205251,111,L47290,L,298.8,308.6,1872,22.5,82,0,No Failure
LWPNMA205252,112,H29525,H,298.7,308.6,1499,43.5,84,0,No Failure
LWPNMA205253,113,M14972,M,298.8,308.7,1498,39.5,89,0,No Failure
LWPNMA205254,114,M14973,M,298.8,308.6,1486,41.9,92,0,No Failure
LWPNMA205255,115,L47294,L,298.8,308.6,1680,29.4,95,0,No Failure
LWPNMA205256,116,L47295,L,298.8,308.6,1431,45.7,97,0,No Failure
LWPNMA205257,117,L47296,L,298.9,308.7,1564,34.1,99,0,No Failure
LWPNMA205258,118,L47297,L,298.8,308.6,1599,33,101,0,No Failure
LWPNMA205259,119,M14978,M,298.8,308.6,1707,28.1,103,0,No Failure
LWPNMA205260,120,L47299,L,298.7,308.5,1467,40.7,106,0,No Failure
LWPNMA205261,121,L47300,L,298.9,308.7,1433,44.7,108,0,No Failure
LWPNMA205262,122,L47301,L,298.9,308.7,1558,41.2,110,0,No Failure
LWPNMA205263,123,L47302,L,299,308.8,1310,50.7,112,0,No Failure
LWPNMA205264,124,L47303,L,298.9,308.7,1546,43.4,114,0,No Failure
LWPNMA205265,125,L47304,L,298.9,308.7,1727,29.4,116,0,No Failure
LWPNMA205266,126,L47305,L,298.9,308.6,1560,32.2,118,0,No Failure
LWPNMA205267,127,L47306,L,299,308.6,1329,60.5,120,0,No Failure
LWPNMA205268,128,L47307,L,298.9,308.6,1413,46.5,122,0,No Failure
LWPNMA205269,129,L47308,L,299,308.6,1587,38.6,124,0,No Failure
LWPNMA205270,130,L47309,L,298.9,308.5,1559,34.3,126,0,No Failure
LWPNMA205271,131,L47310,L,298.8,308.4,1473,41.1,128,0,No Failure
LWPNMA205272,132,L47311,L,298.8,308.4,1737,27.7,130,0,No Failure
LWPNMA205273,133,M14992,M,298.7,308.4,1441,43.2,132,0,No Failure
LWPNMA205274,134,M14993,M,298.7,308.4,1430,49.6,135,0,No Failure
LWPNMA205275,135,L47314,L,298.8,308.4,1369,53,138,0,No Failure
LWPNMA205276,136,M14995,M,298.8,308.5,1711,28.5,140,0,No Failure
LWPNMA205277,137,H29550,H,298.7,308.5,1420,45.7,143,0,No Failure
LWPNMA205278,138,L47317,L,298.7,308.6,1297,55.3,148,0,No Failure
LWPNMA205279,139,H29552,H,298.8,308.6,1449,49.4,150,0,No Failure
LWPNMA205280,140,L47319,L,298.8,308.6,1268,55.8,155,0,No Failure
